ONEOFF_PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,0.166667,0.083333,139.509787,0,12
0,0,0,1072.340217,0.222222,12
773.17,1,0,627.284787,0,12
1499,0.083333,0,,0,12
16,0.083333,0,244.791237,0,12
0,0.666667,0.583333,2407.246035,0,12
6402.63,1,1,198.065894,1,12
0,1,1,532.03399,0,12
661.49,0.333333,0.25,311.963409,0,12
1281.6,0.166667,0,100.302262,0,12
0,1,1,2172.697765,0,12
1492.18,0.25,0,155.549069,0,12
2500.23,1,0.916667,490.207013,0.25,12
419.96,0.75,0.75,251.137986,0.083333,12
0,0,0,989.962866,0,12
0,0.5,0.5,2109.90649,0,12
0,0,0,376.579631,0,8
0,0.416667,0.333333,73.203221,0.25,12
166,0.666667,0.583333,744.613395,0,12
0,1,1,12465.54938,0,12
0,0.666667,0.666667,13557.29726,0,12
5910.04,1,1,1659.775075,0,12
0,1,1,86.329554,0,12
3454.56,1,0.916667,1425.426525,0,12
0,0,0,1657.002877,0,11
0,1,1,163.005536,0,12
102,0.166667,0,971.183209,0,12
0,1,1,164.748819,0,12
204.55,0.666667,0.416667,1648.851345,0,12
0,0.416667,0.416667,159.684442,0,12
1013.2,1,1,3292.01503,0,12
400,1,1,256.848991,0,12
324.95,0.083333,0,2506.745366,0,12
636.79,0.916667,0,196.301885,0.3,12
0,1,1,17862.55831,0,12
0,0,0,634.569311,0,12
0,0,0,1986.843608,0,11
1642.17,0.75,0.75,1541.141605,0,12
204,0.083333,0,2049.408839,0,12
963.24,0.083333,0,719.948985,0.333333,12
0,0,0,283.333445,0.166667,12
786.3,0.583333,0.333333,363.142736,0.111111,12
203.82,0.083333,0,1801.264841,0,12
0,0,0,321.354137,0,12
469.8,1,1,1318.71492,0,12
97,0.333333,0.333333,,0,12
0,0.375,0.25,147.199792,0,8
0,0,0,,0,12
1402.93,1,1,175.657825,0.916667,12
507.5,0.166667,0,286.448719,0.083333,12
646.07,0.625,0.25,1012.415961,0,8
2221.74,0.666667,0.5,1322.446601,0,12
0,0,0,581.481917,0,12
1979.22,0.666667,0,132.446091,0.2,9
0,0.666667,0.666667,,0,12
1283.9,0.25,0,,0,12
313.27,0.25,0,,0,12
4789.09,0.916667,0.5,1311.514878,0.083333,12
0,0,0,1600.212243,0,11
0,0.416667,0.333333,1895.02617,0,12
113,0.166667,0,548.105836,0,12
66.2,0.083333,0,837.215674,0,12
0,0,0,241.645387,0.090909,11
840,0.083333,0,,0,12
0,1,1,3266.996777,0.083333,12
325.21,0.583333,0.166667,897.905444,0,12
0,0,0,179.412493,0,8
0,0,0,352.883804,0,12
190.6,0.666667,0.583333,1001.607366,0.083333,12
1363.69,0.333333,0,923.505868,0,12
0,0.916667,0.833333,2180.881868,0,12
1664.09,0.666667,0.583333,1107.030803,0.454545,12
0,0,0,140.983193,0.25,8
503.08,0.5,0.4,622.757696,0,10
516.64,0.272727,0.181818,175.510344,0,11
249.5,0.833333,0.75,2161.428274,0,12
606.11,1,0,623.656993,0,12
0,0.75,0.666667,190.186542,0,12
0,0,0,8242.687678,0,12
388.66,0.583333,0,2503.40234,0,12
40.21,0.666667,0.583333,121.523416,0.181818,12
0,0,0,164.692136,0,12
28.2,0.416667,0.25,99.533735,0.444444,12
0,0.5,0.416667,140.809454,1,12
4515.34,1,0.333333,594.756686,0,12
1247.8,1,0,171.357189,1,12
1445.14,1,1,1876.262988,0,12
1318.78,1,1,2074.581541,0,12
45,0.083333,0,968.941265,0,12
0,0,0,2864.380327,0,12
1147.83,1,0.916667,9827.045323,0,12
226.9,0.909091,0.818182,910.707525,0.090909,11
