BALANCE_FREQUENCY,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,TENURE
0.818182,0,0,0.083333,139.509787,12
0.909091,0,0,0,1072.340217,12
1,773.17,1,0,627.284787,12
0.636364,1499,0.083333,0,,12
1,16,0.083333,0,244.791237,12
1,0,0,0.583333,2407.246035,12
1,6402.63,1,1,198.065894,12
1,0,0,1,532.03399,12
1,661.49,0.083333,0.25,311.963409,12
0.545455,1281.6,0.166667,0,100.302262,12
1,0,0,1,2172.697765,12
0.818182,1492.18,0.25,0,155.549069,12
1,2500.23,0.25,0.916667,490.207013,12
1,419.96,0.166667,0.75,251.137986,12
1,0,0,0,989.962866,12
1,0,0,0.5,2109.90649,12
0.875,0,0,0,376.579631,8
0.454545,0,0,0.333333,73.203221,12
1,166,0.083333,0.583333,744.613395,12
1,0,0,1,12465.54938,12
1,0,0,0.666667,13557.29726,12
1,5910.04,0.916667,1,1659.775075,12
0.636364,0,0,1,86.329554,12
0.818182,3454.56,0.083333,0.916667,1425.426525,12
1,0,0,0,1657.002877,11
1,0,0,1,163.005536,12
1,102,0.166667,0,971.183209,12
1,0,0,1,164.748819,12
1,204.55,0.166667,0.416667,1648.851345,12
1,0,0,0.416667,159.684442,12
1,1013.2,0.166667,1,3292.01503,12
1,400,0.083333,1,256.848991,12
1,324.95,0.083333,0,2506.745366,12
1,636.79,0.916667,0,196.301885,12
0.727273,0,0,1,17862.55831,12
1,0,0,0,634.569311,12
1,0,0,0,1986.843608,11
1,1642.17,0.5,0.75,1541.141605,12
1,204,0.083333,0,2049.408839,12
0.454545,963.24,0.083333,0,719.948985,12
0.727273,0,0,0,283.333445,12
0.909091,786.3,0.416667,0.333333,363.142736,12
1,203.82,0.083333,0,1801.264841,12
1,0,0,0,321.354137,12
1,469.8,0.333333,1,1318.71492,12
1,97,0.083333,0.333333,,12
0.5,0,0,0.25,147.199792,8
1,0,0,0,,12
1,1402.93,0.666667,1,175.657825,12
1,507.5,0.166667,0,286.448719,12
1,646.07,0.375,0.25,1012.415961,8
1,2221.74,0.583333,0.5,1322.446601,12
1,0,0,0,581.481917,12
0.888889,1979.22,0.666667,0,132.446091,9
0.636364,0,0,0.666667,,12
1,1283.9,0.25,0,,12
1,313.27,0.25,0,,12
1,4789.09,0.916667,0.5,1311.514878,12
1,0,0,0,1600.212243,11
1,0,0,0.333333,1895.02617,12
0.727273,113,0.166667,0,548.105836,12
1,66.2,0.083333,0,837.215674,12
0.909091,0,0,0,241.645387,11
0.090909,840,0.083333,0,,12
1,0,0,1,3266.996777,12
1,325.21,0.333333,0.166667,897.905444,12
0.875,0,0,0,179.412493,8
1,0,0,0,352.883804,12
1,190.6,0.083333,0.583333,1001.607366,12
1,1363.69,0.333333,0,923.505868,12
1,0,0,0.833333,2180.881868,12
0.909091,1664.09,0.5,0.583333,1107.030803,12
1,0,0,0,140.983193,8
1,503.08,0.1,0.4,622.757696,10
0.909091,516.64,0.090909,0.181818,175.510344,11
1,249.5,0.166667,0.75,2161.428274,12
1,606.11,1,0,623.656993,12
1,0,0,0.666667,190.186542,12
1,0,0,0,8242.687678,12
1,388.66,0.583333,0,2503.40234,12
0.909091,40.21,0.166667,0.583333,121.523416,12
0.272727,0,0,0,164.692136,12
0.636364,28.2,0.166667,0.25,99.533735,12
0.545455,0,0,0.416667,140.809454,12
