Kidhome,Fruits,AcceptedCmp3,AcceptedCmp1,Spent,Is_Parent
0,88,0,0,1617,0
1,1,0,0,27,1
0,49,0,0,776,0
1,4,0,0,53,1
1,43,0,0,422,1
0,42,0,0,716,1
0,65,0,0,590,1
1,10,0,0,169,1
1,0,0,0,46,1
1,0,1,0,49,1
0,16,0,0,61,0
0,61,0,0,1102,0
1,2,0,0,310,1
0,14,0,0,46,0
0,22,0,1,1315,0
1,5,0,0,96,1
0,5,0,0,317,0
0,80,0,1,1782,1
1,17,0,0,133,1
0,2,0,0,316,0
1,1,0,0,1730,1
0,0,0,0,972,1
0,0,0,0,544,1
0,3,0,0,444,1
0,4,0,0,75,0
1,4,0,0,257,1
1,2,0,0,131,1
0,100,0,0,1672,0
0,4,0,0,30,0
0,17,0,0,318,0
0,0,0,0,120,1
0,12,0,0,302,1
0,34,0,0,1196,0
1,0,0,0,65,1
0,17,0,0,913,1
1,3,0,0,81,1
0,0,0,0,67,1
0,8,1,0,902,0
0,76,0,0,1395,1
1,1,0,0,53,1
0,0,0,0,22,1
1,1,0,0,31,1
0,164,0,0,984,0
0,18,0,0,122,0
1,6,0,0,55,1
1,50,0,0,1319,1
0,19,0,0,507,1
0,37,0,0,1693,0
1,6,0,0,72,1
0,120,1,1,1617,0
1,9,0,0,606,1
0,51,0,0,1957,0
0,35,0,0,1093,0
1,0,0,0,29,1
0,0,0,0,518,1
0,26,0,0,1438,0
1,18,0,0,612,1
0,7,0,0,884,1
0,0,0,0,606,1
0,40,0,0,1076,0
1,3,0,0,34,1
1,0,0,0,11,1
0,14,1,1,1274,1
0,49,0,0,653,1
1,59,0,0,1562,1
0,36,0,0,1253,0
0,107,0,0,863,1
1,6,0,0,661,1
0,10,0,0,65,0
1,1,0,0,13,1
0,111,0,0,1890,0
0,105,1,0,2209,0
0,0,0,0,18,0
0,0,1,0,692,0
1,4,0,0,165,1
1,1,0,0,16,1
1,5,0,0,79,1
0,17,0,0,318,0
