Teenhome,Fruits,AcceptedCmp2,Response,Spent,Children,Family_Size
0,88,0,1,1617,0,0
1,1,0,0,27,2,2
0,49,0,0,776,0,1
0,4,0,0,53,1,2
0,43,0,0,422,1,2
1,42,0,0,716,1,2
1,65,0,0,590,1,1
0,10,0,0,169,1,2
0,0,0,1,46,1,2
1,0,0,0,49,2,3
0,16,0,0,61,0,1
0,61,0,0,1102,0,0
1,2,0,0,310,2,2
0,14,0,0,46,0,1
0,22,0,1,1315,0,0
1,5,0,0,96,2,3
0,5,0,0,317,0,1
1,80,0,0,1782,1,2
0,17,0,0,133,1,1
0,2,0,0,316,0,1
0,1,0,0,1730,1,2
1,0,0,0,972,1,2
1,0,0,0,544,1,2
1,3,0,0,444,1,2
0,4,0,0,75,0,0
1,4,0,0,257,2,3
0,2,0,0,131,1,2
0,100,0,0,1672,0,1
0,4,0,0,30,0,0
0,17,0,0,318,0,1
1,0,0,0,120,1,2
2,12,0,1,302,2,2
0,34,0,0,1196,0,1
1,0,0,0,65,2,2
1,17,0,0,913,1,2
0,3,0,0,81,1,2
1,0,0,0,67,1,1
0,8,0,1,902,0,0
1,76,0,0,1395,1,2
0,1,0,0,53,1,2
1,0,0,0,22,1,2
0,1,0,0,31,1,2
0,164,0,0,984,0,0
0,18,0,1,122,0,1
0,6,0,0,55,1,2
1,50,0,0,1319,2,3
1,19,0,0,507,1,1
0,37,0,0,1693,0,1
0,6,0,0,72,1,1
0,120,0,1,1617,0,0
1,9,0,0,606,2,3
0,51,0,1,1957,0,1
0,35,0,1,1093,0,0
0,0,0,0,29,1,1
1,0,0,0,518,1,2
0,26,0,1,1438,0,0
1,18,0,0,612,2,3
1,7,0,0,884,1,1
1,0,0,0,606,1,1
0,40,0,0,1076,0,1
0,3,0,1,34,1,2
1,0,0,0,11,2,3
1,14,0,1,1274,1,1
1,49,0,0,653,1,2
2,59,0,0,1562,3,4
0,36,0,0,1253,0,1
1,107,0,0,863,1,2
1,6,0,0,661,2,3
0,10,0,0,65,0,1
0,1,0,0,13,1,1
0,111,0,1,1890,0,1
0,105,0,1,2209,0,0
0,0,0,0,18,0,1
0,0,0,1,692,0,1
0,4,0,0,165,1,1
0,1,0,0,16,1,2
0,5,0,0,79,1,2
0,17,0,0,318,0,1
0,23,0,0,778,0,0
1,8,0,0,56,2,3
1,0,0,0,151,2,3
1,6,0,1,372,1,1
0,60,0,0,1366,0,1
1,9,0,0,194,1,2
0,2,0,0,32,1,1
0,2,0,0,43,1,2
0,3,0,0,45,1,2
1,0,0,0,606,1,1
1,2,0,0,63,2,2
0,26,0,0,978,0,1
0,46,0,0,410,0,1
1,1,0,0,72,1,1
1,1,0,0,55,1,1
1,172,0,0,1169,1,2
0,81,0,0,1120,0,1
0,76,0,1,1097,0,1
0,3,0,0,29,1,2
1,1,0,0,187,2,3
2,106,0,0,910,2,3
0,3,0,0,145,1,1
0,194,0,0,850,0,1
1,115,0,0,969,1,2
0,17,0,1,1820,0,0
1,0,0,0,608,1,2
0,44,0,1,730,0,0
0,0,0,0,551,1,2
1,1,0,0,114,2,2
0,99,0,0,1724,0,1
0,90,0,0,577,1,2
1,5,0,0,81,2,3
0,6,0,0,33,1,2
1,48,0,0,660,1,2
0,3,0,1,80,1,1
0,0,0,0,30,2,3
0,0,0,0,43,1,1
0,27,0,1,1135,0,0
0,33,0,0,559,0,1
0,133,0,1,1923,0,0
1,0,0,0,90,2,3
1,19,0,0,661,2,3
1,58,0,0,463,1,2
1,5,0,0,632,2,3
0,106,0,0,725,0,1
1,0,0,0,279,2,3
0,14,0,0,1482,0,1
0,1,0,0,29,1,1
1,1,0,0,106,3,4
1,0,0,1,49,2,3
1,1,0,0,38,2,2
0,61,0,0,2077,0,0
1,0,0,1,1053,1,2
0,28,0,0,1385,0,1
1,16,0,0,871,1,1
0,34,0,0,312,1,2
2,16,0,0,877,2,3
0,1,0,1,68,1,2
0,1,0,0,22,1,2
1,3,0,0,211,3,4
0,16,0,0,127,0,1
2,21,0,0,459,2,3
1,17,0,0,460,1,2
1,20,0,0,429,1,2
0,7,0,0,89,1,2
1,0,0,0,1021,1,2
0,26,0,1,1381,0,1
1,6,0,0,306,1,1
2,1,0,0,18,3,3
1,11,0,0,162,1,2
0,11,0,0,1231,0,0
1,0,0,0,13,3,3
0,16,0,0,1706,0,1
0,3,0,0,121,1,2
0,12,0,0,1293,0,0
1,2,0,0,1608,1,2
1,1,0,0,88,3,4
0,16,0,0,421,0,0
0,5,0,0,259,0,0
0,162,0,0,1117,0,0
1,10,0,0,89,2,3
1,3,0,0,36,2,3
0,4,0,0,57,1,2
0,7,0,0,148,2,3
1,0,0,0,93,2,3
1,0,0,0,119,1,1
1,71,0,0,1835,1,2
0,66,0,1,1318,0,1
1,0,0,0,45,2,3
1,0,0,0,10,3,4
0,26,0,0,978,0,1
1,3,0,0,191,1,2
0,11,0,0,57,1,2
0,26,0,0,1033,0,1
0,1,0,0,66,1,2
0,9,0,0,43,0,1
0,1,0,0,50,1,2
1,0,0,0,39,1,1
1,0,0,0,608,1,2
0,30,0,0,1581,0,1
1,1,0,0,68,2,3
0,4,0,0,80,1,2
0,22,0,0,1282,0,1
0,6,0,0,65,1,1
0,3,0,0,91,1,2
1,6,0,0,315,2,3
1,0,0,0,31,2,3
0,16,0,0,834,0,1
0,17,0,0,1600,0,1
0,189,0,0,1270,0,1
1,1,0,1,263,2,2
1,4,0,0,535,1,1
0,138,0,0,1295,0,0
1,43,0,0,1150,1,1
0,29,0,1,1240,0,1
1,0,0,0,38,2,2
0,4,0,1,35,0,0
0,6,0,0,53,1,2
1,18,0,0,293,2,2
1,0,0,0,65,1,2
1,48,0,1,1804,1,1
1,24,0,0,241,1,2
0,22,0,0,1101,0,1
1,0,0,0,264,2,3
1,0,0,0,541,2,3
0,10,0,0,1198,0,1
0,7,0,0,482,1,2
1,0,0,0,17,3,3
0,16,0,0,1615,0,1
1,4,0,0,285,1,1
0,32,0,0,1135,1,2
0,11,0,0,114,1,2
0,10,0,0,1047,0,1
2,7,0,0,714,2,3
0,1,0,0,185,1,2
1,23,0,0,1245,1,1
0,0,0,0,189,1,2
1,7,0,0,576,1,2
1,20,0,0,1103,1,1
0,86,0,0,1753,0,1
0,1,0,0,17,1,2
1,7,0,1,433,2,2
1,76,0,0,1588,1,1
0,1,0,0,22,1,2
0,4,0,0,19,0,0
1,21,0,0,1117,1,2
0,9,0,0,69,1,2
0,0,0,0,23,1,2
1,5,0,0,605,1,1
0,3,0,0,57,1,1
1,0,0,0,22,1,1
0,61,0,0,2088,0,0
1,114,0,0,1009,1,2
0,1,0,0,26,1,1
0,153,0,1,1627,0,1
1,0,0,0,1102,1,2
1,0,0,0,17,2,3
0,16,0,1,1690,1,2
1,64,0,0,1390,1,2
0,134,0,0,2126,0,1
1,28,0,0,1531,1,2
0,3,0,0,64,1,1
0,3,0,0,26,1,1
0,148,1,1,1112,0,0
0,47,0,0,210,0,1
1,28,0,0,1148,2,3
0,0,0,0,33,1,1
1,21,0,0,1101,1,2
1,33,0,0,322,1,1
1,4,0,0,44,2,2
1,0,0,0,17,3,3
0,2,0,1,31,1,1
2,41,0,0,845,2,2
0,2,0,0,275,1,2
0,0,0,0,25,1,2
1,2,0,1,275,2,3
1,4,0,0,90,2,3
0,84,0,0,1495,0,1
1,2,0,1,184,2,3
0,74,0,0,981,0,1
0,7,0,0,67,1,2
0,44,0,1,1635,0,0
0,7,0,0,60,1,1
1,0,0,0,231,1,2
1,2,0,0,48,2,3
1,6,0,0,99,2,2
1,7,0,0,770,1,2
0,162,0,1,957,0,0
0,129,0,0,818,0,1
0,0,0,1,925,0,0
1,15,0,0,908,1,1
0,19,0,0,102,1,2
1,7,0,0,576,1,2
0,5,0,0,317,0,1
1,7,0,0,461,1,2
1,0,0,0,37,2,3
0,6,0,0,70,1,2
0,98,0,0,930,0,1
1,28,0,0,859,2,3
0,183,0,0,1478,0,0
0,3,0,0,390,0,0
0,6,0,0,52,0,1
0,0,0,0,137,1,2
0,129,0,0,1919,0,1
0,3,0,0,68,2,3
1,1,0,0,25,2,3
1,0,1,0,1374,1,2
0,4,0,0,32,1,1
0,4,0,0,100,1,2
0,15,0,0,825,0,0
1,0,0,0,916,1,1
1,0,0,0,62,2,2
1,14,0,0,728,1,2
0,0,0,0,90,1,2
0,15,0,0,273,1,1
0,1,0,0,66,1,2
0,147,0,0,1213,0,1
0,26,0,1,107,0,0
0,11,0,0,1157,0,0
1,0,0,0,546,1,2
0,2,0,0,241,0,1
0,5,0,0,53,1,1
1,0,0,0,37,3,4
0,44,0,0,1508,0,0
1,0,0,0,235,2,3
1,0,0,0,32,2,3
1,4,0,0,102,2,3
0,64,0,0,401,1,1
1,0,0,0,28,2,3
1,5,0,0,680,1,2
0,3,0,0,30,1,2
1,0,0,0,20,2,2
1,60,0,0,1307,1,1
1,17,0,0,630,1,1
0,0,0,0,1283,0,1
0,2,0,0,65,1,1
0,1,0,0,37,1,2
1,0,0,0,38,3,4
0,7,0,0,160,1,1
0,1,0,0,23,1,1
0,2,0,0,71,0,0
1,11,0,1,1161,1,2
0,1,0,1,59,1,2
0,2,0,0,33,1,2
2,46,0,0,946,2,2
0,153,0,1,1442,0,0
0,2,0,0,62,1,2
0,61,0,1,1674,0,1
0,144,0,0,1853,0,1
0,19,0,0,1538,0,0
0,32,0,0,139,0,0
1,0,1,0,1182,1,2
1,14,0,0,507,1,2
0,6,0,1,18,1,2
0,34,0,0,940,0,0
1,0,0,0,42,2,3
0,104,0,1,1190,0,0
1,0,0,0,44,2,2
0,0,0,0,16,1,2
1,33,0,0,835,1,2
0,80,0,0,1443,1,2
0,20,0,1,1029,0,0
0,91,0,0,1188,0,1
1,0,0,0,1277,1,1
1,2,0,0,49,2,2
1,0,0,0,99,1,2
0,64,0,0,1670,0,1
0,17,0,0,900,0,1
2,15,0,0,425,2,3
0,163,0,0,2153,0,1
1,0,0,0,636,1,1
0,3,0,0,57,2,3
0,0,0,0,25,1,2
1,8,0,0,494,2,3
1,0,0,0,693,1,1
0,0,0,0,1348,0,1
0,3,0,0,51,1,1
0,33,0,0,1932,0,1
1,0,0,0,990,1,1
0,4,0,0,30,1,2
1,4,0,0,254,2,3
0,1,0,0,29,1,1
1,12,0,0,1371,1,1
1,4,0,1,73,2,2
1,0,0,0,120,2,2
0,9,0,1,81,0,0
0,4,0,0,37,1,1
1,24,0,0,1377,1,2
