user_id,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,department
49125,18,,17,1,pantry
49125,18,,91,2,dairy eggs
49125,18,,36,3,dairy eggs
49125,18,,83,4,produce
49125,18,,83,5,produce
49125,18,,91,6,dairy eggs
49125,18,,120,7,dairy eggs
49125,18,,59,8,canned goods
49125,18,,35,9,meat seafood
162867,17,,37,1,frozen
162867,17,,24,2,produce
162867,17,,83,3,produce
162867,17,,84,4,dairy eggs
162867,17,,91,5,dairy eggs
162867,17,,24,6,produce
162867,17,,24,7,produce
162867,17,,24,8,produce
162867,17,,21,9,dairy eggs
162867,17,,112,10,bakery
162867,17,,24,11,produce
162867,17,,24,12,produce
162867,17,,24,13,produce
147243,16,3,94,1,beverages
147243,16,3,83,2,produce
147243,16,3,83,3,produce
147243,16,3,24,4,produce
147243,16,3,120,5,dairy eggs
147243,16,3,120,6,dairy eggs
147243,16,3,91,7,dairy eggs
147243,16,3,120,8,dairy eggs
147243,16,3,120,9,dairy eggs
147243,16,3,8,10,bakery
147243,16,3,24,11,produce
147243,16,3,52,12,frozen
147243,16,3,36,13,dairy eggs
147243,16,3,121,14,breakfast
147243,16,3,86,15,dairy eggs
195275,11,3,83,1,produce
195275,11,3,86,2,dairy eggs
195275,11,3,24,3,produce
195275,11,3,24,4,produce
195275,11,3,43,5,bakery
195275,11,3,120,6,dairy eggs
195275,11,3,24,7,produce
195275,11,3,83,8,produce
195275,11,3,83,9,produce
195275,11,3,83,10,produce
195275,11,3,24,11,produce
58222,11,6,53,1,dairy eggs
58222,11,6,86,2,dairy eggs
58222,11,6,115,3,beverages
58222,11,6,120,4,dairy eggs
58222,11,6,17,5,pantry
58222,11,6,17,6,pantry
58222,11,6,17,7,pantry
58222,11,6,24,8,produce
58222,11,6,110,9,pantry
58222,11,6,49,10,meat seafood
58222,11,6,83,11,produce
58222,11,6,21,12,dairy eggs
58222,11,6,21,13,dairy eggs
58222,11,6,83,14,produce
58222,11,6,108,15,dairy eggs
120094,17,7,29,1,pantry
120094,17,7,26,2,beverages
120094,17,7,91,3,dairy eggs
120094,17,7,31,4,beverages
120094,17,7,24,5,produce
120094,17,7,3,6,snacks
73110,10,,77,1,beverages
73110,10,,30,2,international
53959,1,30,111,1,household
53959,1,30,54,2,household
53959,1,30,91,3,dairy eggs
53959,1,30,20,4,personal care
53959,1,30,56,5,babies
53959,1,30,85,6,household
53959,1,30,85,7,household
53959,1,30,85,8,household
53959,1,30,24,9,produce
53959,1,30,117,10,snacks
53959,1,30,25,11,personal care
53959,1,30,25,12,personal care
176782,8,20,24,1,produce
176782,8,20,24,2,produce
176782,8,20,24,3,produce
176782,8,20,120,4,dairy eggs
176782,8,20,123,5,produce
176782,8,20,106,6,meat seafood
176782,8,20,96,7,deli
176782,8,20,83,8,produce
176782,8,20,107,9,snacks
176782,8,20,77,10,beverages
176782,8,20,123,11,produce
176782,8,20,122,12,meat seafood
176782,8,20,24,13,produce
176782,8,20,49,14,meat seafood
176782,8,20,35,15,meat seafood
176782,8,20,67,16,deli
176782,8,20,123,17,produce
176782,8,20,107,18,snacks
176782,8,20,107,19,snacks
176782,8,20,84,20,dairy eggs
176782,8,20,53,21,dairy eggs
176782,8,20,37,22,frozen
176782,8,20,1,23,deli
104339,10,4,43,1,bakery
104339,10,4,72,2,pantry
104339,10,4,84,3,dairy eggs
104339,10,4,52,4,frozen
104339,10,4,21,5,dairy eggs
104339,10,4,86,6,dairy eggs
104339,10,4,24,7,produce
104339,10,4,112,8,bakery
104339,10,4,107,9,snacks
104339,10,4,98,10,beverages
104339,10,4,99,11,canned goods
