Feature,Rank,Method,Score
Education,1,PCA,3.56726076236902
AcceptedCmp3,2,PCA,3.4583977705946953
Age,3,PCA,3.388868015410727
AcceptedCmp4,4,PCA,3.2314358113950252
Response,5,PCA,3.1530086664701944
Is_Parent,1,LDA,2.404512731552642
Kidhome,2,LDA,1.3785850116860434
NumWebPurchases,3,LDA,1.2849393680104402
NumStorePurchases,4,LDA,1.2357776798752296
Spent,5,LDA,1.0129551309828957
Spent,1,IFS,3542.4825333662616
Is_Parent,2,IFS,2173.9246512100603
Meat,3,IFS,1757.4353734210122
Wines,4,IFS,1457.7527996632114
NumCatalogPurchases,5,IFS,1427.6326112363718
