Feature,Rank,Method,Score
CUST_ID_C11192,1,PCA,1.0000000000001006
CUST_ID_C14114,2,PCA,1.0000000000000921
CUST_ID_C17965,3,PCA,1.0000000000000813
CUST_ID_C12357,4,PCA,1.0000000000000746
CUST_ID_C13971,5,PCA,1.0000000000000642
CUST_ID_C13782,1,LDA,17.23081876389559
CUST_ID_C12251,2,LDA,15.802217842397303
CUST_ID_C14755,3,LDA,15.2432935128507
CUST_ID_C16877,4,LDA,15.014441355196306
CUST_ID_C14143,5,LDA,14.490974368976778
CUST_ID_C12357,1,IFS,6419.031566508611
CUST_ID_C11437,2,IFS,3431.146596980766
CUST_ID_C11192,3,IFS,867.8275897517337
CUST_ID_C14114,4,IFS,213.36726840403628
CUST_ID_C15701,5,IFS,118.8087426261307
