Feature,Rank,Method,Score
bmi,1,PCA,1.6717601364232089
age,2,PCA,1.6385684464530024
charges,3,PCA,1.4879814656945742
children,4,PCA,1.461789815362273
region_northwest,5,PCA,1.0639871562954553
smoker_yes,1,LDA,0.23056306670785978
smoker_no,2,LDA,0.2305630667078597
bmi,3,LDA,0.10635934367154803
charges,4,LDA,0.04348398820910421
age,5,LDA,0.037571153907450916
smoker_no,1,IFS,7.7995825383140645
smoker_yes,2,IFS,7.79958253831402
charges,3,IFS,4.3997016974374485
bmi,4,IFS,2.878969506932108
age,5,IFS,0.58136932913075
